outcome,term,coef,se,z,p,nobs,events,peer_firms,mean_y,mean_ai_active,peer_cleaning_ann_rate,focal_cleaning_ann_rate,draw,fe_spec
peer_car_m1_p1_mm,specz_ai_active,0.0009147644267596765,0.001021239951662095,0.8957389742448612,0.37039218960206854,7766,2374,3690,-0.0012606301496798345,0.27427246973989183,0.0,0.0,15,event_fe_peer_industry_week_fe
peer_car_0_p1_mm,specz_ai_active,2.3562708310051985e-05,0.0008594543964174354,0.02741589130065677,0.9781280235878065,7677,2370,3672,-0.0008372088093805227,0.2751074638530676,0.0,0.0,16,event_fe
peer_car_0_p1_mm,specz_ai_active,2.3562708310051727e-05,0.0008594543964174353,0.027415891300656477,0.9781280235878067,7677,2370,3672,-0.0008372088093805227,0.2751074638530676,0.0,0.0,16,event_fe_peer_industry_week_fe
peer_car_m1_p1_mm,specz_ai_active,0.0006125536790651133,0.0009651231364463823,0.6346896638708277,0.5256308361956405,7677,2370,3672,-0.0008384002267405341,0.2751074638530676,0.0,0.0,16,event_fe
peer_car_m1_p1_mm,specz_ai_active,0.0006125536790651132,0.0009651231364463823,0.6346896638708276,0.5256308361956408,7677,2370,3672,-0.0008384002267405341,0.2751074638530676,0.0,0.0,16,event_fe_peer_industry_week_fe
peer_car_0_p1_mm,specz_ai_active,0.001276915428873222,0.0008459788452089122,1.5093940423036125,0.13119811466983022,7759,2368,3721,-0.0011384054250326416,0.27348885165614123,0.0,0.0,17,event_fe
peer_car_0_p1_mm,specz_ai_active,0.0012769154288732223,0.0008459788452089122,1.5093940423036127,0.13119811466983,7759,2368,3721,-0.0011384054250326416,0.27348885165614123,0.0,0.0,17,event_fe_peer_industry_week_fe
peer_car_m1_p1_mm,specz_ai_active,0.0007482755861779752,0.0010634781009803607,0.7036116545213126,0.48167465141745236,7759,2368,3721,-0.0013431580611482587,0.27348885165614123,0.0,0.0,17,event_fe
peer_car_m1_p1_mm,specz_ai_active,0.0007482755861779752,0.0010634781009803609,0.7036116545213125,0.48167465141745236,7759,2368,3721,-0.0013431580611482587,0.27348885165614123,0.0,0.0,17,event_fe_peer_industry_week_fe
peer_car_0_p1_mm,specz_ai_active,0.0012770138022977255,0.0007818607785563133,1.6333007580399417,0.10240575744972724,7719,2365,3680,-0.0009211203257054759,0.27814483741417284,0.0,0.0,18,event_fe
peer_car_0_p1_mm,specz_ai_active,0.0012770138022977255,0.0007818607785563133,1.6333007580399417,0.10240575744972724,7719,2365,3680,-0.0009211203257054759,0.27814483741417284,0.0,0.0,18,event_fe_peer_industry_week_fe
