outcome,term,coef,se,z,p,nobs,events,peer_firms,mean_y,mean_ai_active,draw,fe_spec
peer_car_0_p1_mm,specz_ai_active,-0.00020362543819019526,0.0005211451555225614,-0.39072691366768336,0.6959991029468644,20086,2599,4675,-0.0008252714150548747,0.2777058647814398,21,event_fe
peer_car_0_p1_mm,specz_ai_active,-0.00020362543819019502,0.0005211451555225614,-0.39072691366768286,0.6959991029468648,20086,2599,4675,-0.0008252714150548747,0.2777058647814398,21,event_fe_peer_industry_week_fe
peer_car_m1_p1_mm,specz_ai_active,-8.324050996179543e-05,0.0006537714828084496,-0.12732355593763992,0.8986843170896999,20086,2599,4675,-0.0008112468335020046,0.2777058647814398,21,event_fe
peer_car_m1_p1_mm,specz_ai_active,-8.324050996179548e-05,0.0006537714828084496,-0.12732355593764,0.8986843170896999,20086,2599,4675,-0.0008112468335020046,0.2777058647814398,21,event_fe_peer_industry_week_fe
peer_car_0_p1_mm,specz_ai_active,0.00041477400949388406,0.0006075253637678181,0.6827270666058988,0.49477932320046003,20022,2599,4657,-0.00046281782310648745,0.2749475576865448,22,event_fe
peer_car_0_p1_mm,specz_ai_active,0.00041477400949388406,0.0006075253637678181,0.6827270666058988,0.49477932320046003,20022,2599,4657,-0.00046281782310648745,0.2749475576865448,22,event_fe_peer_industry_week_fe
peer_car_m1_p1_mm,specz_ai_active,0.0002843237531221463,0.0007084134408617126,0.4013528495115727,0.6881603584791451,20022,2599,4657,-0.0004296527250803519,0.2749475576865448,22,event_fe
peer_car_m1_p1_mm,specz_ai_active,0.0002843237531221463,0.0007084134408617126,0.4013528495115727,0.6881603584791451,20022,2599,4657,-0.0004296527250803519,0.2749475576865448,22,event_fe_peer_industry_week_fe
peer_car_0_p1_mm,specz_ai_active,0.0007151199340738514,0.000541585363022079,1.3204196104625854,0.1866949597241614,20056,2599,4649,-0.0011121321003458313,0.27562824092540883,23,event_fe
peer_car_0_p1_mm,specz_ai_active,0.0007151199340738514,0.000541585363022079,1.3204196104625854,0.1866949597241614,20056,2599,4649,-0.0011121321003458313,0.27562824092540883,23,event_fe_peer_industry_week_fe
peer_car_m1_p1_mm,specz_ai_active,0.001208325103764786,0.0006575715310903998,1.837556899340083,0.06612772482329454,20056,2599,4649,-0.0011427686847305663,0.27562824092540883,23,event_fe
peer_car_m1_p1_mm,specz_ai_active,0.001208325103764786,0.0006575715310903998,1.837556899340083,0.06612772482329454,20056,2599,4649,-0.0011427686847305663,0.27562824092540883,23,event_fe_peer_industry_week_fe
peer_car_0_p1_mm,specz_ai_active,-0.00011669814089739526,0.0004990599884015176,-0.2338358987086459,0.8151123789137602,20106,2599,4658,-0.0006301061903971706,0.2768327862329653,24,event_fe
peer_car_0_p1_mm,specz_ai_active,-0.0001166981408973952,0.0004990599884015176,-0.2338358987086458,0.8151123789137604,20106,2599,4658,-0.0006301061903971706,0.2768327862329653,24,event_fe_peer_industry_week_fe
peer_car_m1_p1_mm,specz_ai_active,0.00013682008718205753,0.0006047725562781339,0.22623395483431,0.8210194629846155,20106,2599,4658,-0.0002762728168258204,0.2768327862329653,24,event_fe
peer_car_m1_p1_mm,specz_ai_active,0.0001368200871820576,0.0006047725562781339,0.22623395483431008,0.8210194629846155,20106,2599,4658,-0.0002762728168258204,0.2768327862329653,24,event_fe_peer_industry_week_fe
